Id,Program,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s1_grade,Y1s2_enrol,Y1s2_complete,Y1s2_grade,Y2s1_enrol,Y2s1_complete,Y2s1_grade,Y2s2_enrol,Y2s2_complete,Y2s2_grade,Y3s1_enrol,Y3s1_complete,Y3s1_grade,Y3s2_enrol,Y3s2_complete,Y3s2_grade,Y4s1_enrol,Y4s1_complete,Y4s1_grade,Y4s2_enrol,Y4s2_complete,Y4s2_grade,Rest_enrol,Rest_complete,Rest_grade,Failure
131380709,Management,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386533,Informatics,26,30,34,6,10,36,0,0,30,3,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111364561,Nursing,24,30,30,30,14.933,30,30,16.333,30,30,13.4,30,30,16,30,30,12.433,30,30,13.767,0,0,0,0,0,0,0,0,0,0
111364578,Nursing,30,24,30,30,16.733,30,30,17.667,30,30,16.9,30,30,15.5,30,30,14.967,30,30,17.233,0,0,0,0,0,0,0,0,0,0
111345850,Nursing,30,30,20,20,18,26,26,15.038,34,34,15.588,26,26,15.308,30,28,14.571,30,30,16.8,0,0,0,0,0,0,0,0,0,0
111354372,Nursing,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389663,Biology,5,6,12,7,10,27,10,12.4,5,5,13.6,16,10,11.6,15,15,12.8,12,12,14,12,12,12.25,9,9,13.667,116,83,13.506,0
131403940,Management,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389722,Informatics,23,18,29,6,13,30,18,11,0,0,0,0,0,0,28,11,13.727,30,18,12.667,31,14,10.857,42,18,10.667,130,53,11.736,0
111345877,Nursing,30,30,26,26,15.962,20,20,17,26,26,15.923,34,34,15.647,30,30,14.967,30,30,14.433,0,0,0,0,0,0,0,0,0,0
131392426,Informatics,30,42,35,6,13,30,12,13,35,11,14.273,24,6,16,0,0,0,0,0,0,29,0,0,36,0,0,239,50,11.06,1
131393407,Management,6,25,11.5,5.5,11,41,12,12,29.5,18,10,48.5,11.5,12.522,31,19,13.053,47,12,11,31.5,19,10.658,48,12.5,10.32,65.5,46.5,11.785,0
131384319,Biology,28,30,36,36,14.583,30,30,15,30,30,12.8,30,30,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387737,Nursing,30,30,30,30,17,30,30,16.467,30,30,16,30,30,15.867,30,30,15.4,30,30,15.767,0,0,0,0,0,0,0,0,0,0
111335764,Nursing,30,30,30,30,15.667,30,30,14.3,30,30,16.333,30,30,13.833,30,30,14.067,30,30,14.2,0,0,0,0,0,0,0,0,0,0
131403263,Management,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131396902,Informatics,18,30,33,27,11.481,39,39,12.564,39,20,11.95,41,18,11.833,34,14,10.429,41,12,10.833,28,0,0,35,5,13,0,0,0,0
131388528,Management,41.5,47.5,36,24.5,11.714,42,36.5,13.247,30,18,13.139,30,17.5,14.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385165,Nursing,30,30,30,30,15.867,30,30,17.333,30,30,15.433,30,30,16,30,30,13.067,30,30,14,0,0,0,0,0,0,0,0,0,0
131384455,Biology,42,40,34,20,12.1,32,20,12,36,24,10.375,36,24,13.25,30,2,13,30,4,11,0,0,0,0,0,0,0,0,0,0
131391860,Management,24,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131392755,Biology,0,6,15,11,16.364,38,20,15,34,27,13.704,16,10,15.6,30,30,13.9,34,30,13,30,18,12.222,30,30,12.033,0,0,0,0
131395413,Informatics,17,24,32,26,14.077,41,36,13.056,33,21,12.333,34,23,14.783,29,29,12.276,30,24,10.917,0,0,0,0,0,0,0,0,0,0
111335818,Nursing,30,30,30,30,16.333,30,30,15.2,30,30,15.333,30,30,15.8,30,30,15.5,30,30,14.733,0,0,0,0,0,0,0,0,0,0
131384181,Biology,18,34,22,20,12.1,23,17,13.471,30,18,12,39,39,11.538,30,26,11.5,30,15,11.733,0,0,0,0,0,0,0,0,0,0
131381705,Informatics,29,48,27,15,10.8,42,30,11.6,30,9,13.667,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111335848,Nursing,30,30,30,30,17.333,30,30,14.567,30,30,16,30,30,15.8,30,30,14.467,30,30,15.133,0,0,0,0,0,0,0,0,0,0
131393137,Management,33.5,24.5,34.5,24.5,11.98,29.5,23.5,11.213,36,18.5,11.135,30,18.5,11.514,30,13.5,11.333,30,23.5,11.872,0,0,0,0,0,0,0,0,0,0
131380866,Nursing,30,30,30,30,12.967,30,30,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131388076,Nursing,0,29,30,30,18,41,30,16.1,39,36,14.944,38,19,12.842,30,30,14.667,36,19,13.421,33,27,13,30,24,13.375,0,0,0,0
131391018,Informatics,15,12,42,36,12.333,30,24,14,30,24,12.292,30,30,12.8,30,21,11.714,30,24,12.5,0,0,0,0,0,0,0,0,0,0
131384404,Informatics,24,42,31,19,12.895,42,24,11.5,34,29,12.207,36,12,13,30,12,14.25,36,24,12,0,0,0,0,0,0,0,0,0,0
131396239,Informatics,5,24,36,24,15.292,35,30,15.3,26,20,13.7,41,36,13.389,33,33,13.364,33,28,14.964,28,28,14.607,30,25,13,0,0,0,0
131385695,Biology,37,30,30,24,12.75,39,39,13.077,30,30,11.433,30,21,13.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131389741,Biology,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386727,Biology,36,35,36,30,14.1,36,36,13.5,30,30,11.433,30,24,12.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131390241,Management,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131403941,Management,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131390684,Management,11.5,18,36.5,36.5,14.521,35.5,23.5,14.979,36,24.5,12.449,36,30.5,12.197,30,11.5,11.826,30,24,13.875,0,0,0,0,0,0,0,0,0,0
131396842,Informatics,24,42,36,24,14.5,36,36,13,44,19,10.947,30,11,12.545,53,5,10,82,24,10.5,25,0,0,34,5,11,58,9,13.333,0
131391093,Management,35.5,35.5,30,24.5,12.061,36,30.5,12.656,30,30,12.55,30,24,14.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131386967,Biology,34,42,36,24,12.875,36,36,12.833,30,30,10.867,30,24,12.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131381533,Management,39,48,24,12,10.25,30,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384888,Management,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131388417,Biology,22,32,36,36,15.667,30,30,16.4,30,30,12,30,30,14.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131392233,Biology,7,0,26,9,13.111,37,22,13.273,32,24,13.917,36,30,14.367,32,32,11.688,36,36,13.333,0,0,0,42,17,13.412,0,0,0,0
131393206,Informatics,6,0,0,0,0,0,0,0,6,0,0,18,0,0,6,0,0,12,0,0,24,18,11.333,36,24,11.75,284,135,11.119,0
111345868,Nursing,30,34,26,26,16.615,20,20,16,26,26,16.269,34,34,16.412,30,30,16.1,30,30,15.833,0,0,0,0,0,0,0,0,0,0
111335837,Nursing,15,51,30,30,17.333,30,30,14.167,30,30,16.667,30,30,14.1,30,24,13.792,36,36,13.917,0,0,0,0,0,0,0,0,0,0
131390010,Nursing,30,35,30,30,17.667,33,30,13.633,30,30,17,30,30,15.867,30,30,14.767,30,30,13.833,0,0,0,0,0,0,0,0,0,0
111345856,Nursing,30,30,26,26,16.462,20,20,17,26,26,14.423,34,34,17.294,30,30,14.867,30,30,16.167,0,0,0,0,0,0,0,0,0,0
131383839,Biology,6,6,32,26,13.846,50,38,13.895,34,24,12.5,30,30,12.6,30,26,14.269,30,30,13.8,0,0,0,0,0,0,0,0,0,0
131388795,Management,30,30,36,36,15.389,30,30,13.617,30,24,12.646,36,30,15.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111374734,Nursing,30,21,5,5,16,30,30,16.333,30,30,12.933,15,15,17,30,30,12.8,30,15,14,30,30,12.067,30,30,13.567,0,0,0,0
131388361,Informatics,36,30,30,30,14.833,36,30,14,30,30,13.1,30,24,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131411863,Management,29.5,23.5,29.5,0,0,23.5,0,0,29.5,0,0,23.5,0,0,29.5,0,0,36.5,0,0,29.5,0,0,23.5,0,0,0,0,0,1
131395797,Biology,23,16,17,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,55,12.255,1
131380409,Informatics,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389833,Nursing,30,30,30,30,18,30,30,14.667,30,30,16,30,30,14.9,30,30,14.733,33,33,13.97,0,0,0,0,0,0,0,0,0,0
131382736,Management,37,23,36,9,11,36,0,0,30,12,13.5,30,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131382821,Management,48,36,36,12,12.5,42,15,13.4,30,12,12.75,30,24,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387067,Biology,27,36,36,36,13.25,36,36,14.5,30,24,11.833,30,24,14.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131400001,Informatics,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131397522,Informatics,17,30,34,26,11.885,37,18,12.667,54,19,11.263,48,22,12.273,39,6,10,64,19,10.368,33,14,11.429,45,16,10.375,0,0,0,0
131383432,Nursing,30,30,30,30,15.2,30,30,15.667,30,30,13.867,30,30,17,30,30,11.5,30,30,13.967,0,0,0,0,0,0,0,0,0,0
131396646,Informatics,18,42,34,20,11.9,39,18,13.667,60,19,12.316,70,31,12.065,41,7,10,53,19,11.632,28,20,11.9,30,5,10,0,0,0,0
131396368,Biology,33,47,36,27,11,36,30,12.2,42,6,10,30,18,11,0,0,0,0,0,0,0,0,0,0,0,0,61,24,12,0
111345909,Nursing,30,30,26,26,15.731,20,20,13.5,26,26,14.154,34,34,14.412,30,30,13.3,30,30,14.933,0,0,0,0,0,0,0,0,0,0
131394577,Biology,39,42,29,23,11.696,30,24,14,32,32,10.969,29,23,13.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131394944,Informatics,18,18,35,6,11,30,0,0,35,12,11.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380356,Nursing,30,30,30,30,14.433,30,30,13.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131398541,Informatics,6,0,48,32,14.469,15,15,15.467,59,32,12.563,56,35,13.971,40,19,13.316,49,33,14.182,33,20,12.6,43,22,13.909,0,0,0,0
131387130,Informatics,20,30,20,0,0,30,0,0,38,0,0,30,0,0,44,12,12.5,24,0,0,36,8,13.25,54,0,0,60,9,12.667,1
131383750,Management,36,42,42,36,12.417,30,24,13.5,30,18,13,30,30,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131386106,Nursing,9,10,30,21,14.714,30,30,16,30,30,14.633,30,20,14,30,30,13.7,30,30,14,30,30,11.9,30,30,13.467,0,0,0,0
131389154,Management,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131403867,Nursing,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131387182,Management,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386797,Management,35.5,30,35,35,13.914,36,36,14.264,30,19.5,14.615,30,24,14.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131386679,Informatics,36,42,31,31,14.161,36,36,14.667,0,0,0,0,0,0,27,9,15.333,36,12,15.5,34,0,0,18,0,0,72,3,18,0
