Id,Failure
131408425,1
131382828,1
131383837,1
111335830,1
131383559,1
131384073,1
131381678,0
131397908,0
131382381,1
131386220,1
131380877,1
131387403,1
111374724,1
131385532,0
131388770,1
131396262,1
111354357,1
131382420,1
131382879,1
131384962,1
131391215,1
131386363,1
131382212,1
131400015,0
131392866,1
131381865,1
131379785,1
131387060,1
131393851,1
131385712,1
131401383,1
131395646,0
131383786,1
131384386,1
131397067,0
111354293,1
131387930,1
131394347,1
131379415,1
131382518,1
131398945,0
131389946,1
131384532,1
131383457,1
131389399,1
131403642,0
131394871,0
131382486,1
131394638,1
131394987,0
131386338,1
131386489,1
131392802,1
131380490,1
131383525,1
131386795,0
131390323,1
131387467,1
131393247,1
131397571,0
131385998,1
131391927,1
111395010,1
131393585,1
131389521,0
131391207,0
111354335,1
131385991,1
131386829,1
131386311,1
131381696,0
131382826,0
131386860,1
131384340,1
131380335,1
131382466,1
131392132,0
131403326,1
131383315,1
131385995,1
131386077,1
131387463,1
131394452,1
131394148,1
131380626,1
131386141,1
111364517,1
131384010,1
131390473,1
131382608,1
131385648,1
131386584,1
131382153,0
131380074,1
131380033,1
131382241,1
131381677,0
111354313,1
131388386,1
131405966,1
131394957,1
131394959,0
131388407,1
131394218,1
131384210,1
131383930,1
131390057,1
131390142,1
131392836,1
111354307,1
131383858,1
131380609,1
111354323,1
131382332,1
131393794,1
131391611,0
131396495,1
131388120,1
131383953,1
131381673,0
131386649,1
131390173,0
131383962,1
131385929,1
131403993,1
131380698,1
131384778,0
131389962,0
131381831,1
131390978,1
131409969,1
131380290,1
131385587,1
131392073,1
131384804,1
131385126,1
111345863,1
131405236,0
131401973,0
131386293,0
131387166,0
131384295,1
131384126,1
111354341,1
131390755,1
131402456,1
131382527,1
131388367,1
111354296,1
131386717,1
131392848,1
131385739,1
131379406,1
131385876,1
131403577,1
131394291,1
131379397,1
131382514,1
131395882,1
131380105,1
111335820,1
131390567,1
131405034,1
131391332,0
131385516,0
131396976,1
131387922,1
131384975,1
131395579,0
131389442,1
131389026,1
131391452,1
131388345,1
131394661,1
131387242,1
131395559,1
131389672,1
131382801,1
131382910,1
131389699,1
131391348,1
131390805,1
131403888,1
131399188,1
131403892,1
111335816,1
131393189,1
131383985,1
131393200,0
131379704,0
131385006,1
131393531,1
131388192,1
131380112,1
131392581,1
131388110,1
131389087,1
111335897,1
131380840,0
111335826,1
131381584,1
131380818,1
131384746,1
131384108,1
131400864,0
131402072,1
131385157,1
131392482,0
131402953,1
131382751,1
131395373,1
111335832,1
131388451,0
131385177,1
131412394,1
131386680,1
131392695,1
131392534,1
131388753,1
131391932,1
131392973,0
131403423,1
111335842,1
131380447,0
131392872,1
131385040,1
131386433,1
131393755,1
131402157,1
131386840,1
131384057,1
131387672,1
131393348,1
131386518,0
131384496,1
111345827,1
131379416,1
131389071,1
131392932,0
131384301,0
131389244,1
131385127,1
131383415,1
131379487,1
131379931,1
131389630,1
131392384,1
131394591,1
131395383,0
131382220,1
131382340,1
131384195,1
131390295,1
131399170,0
131387886,1
131389904,1
131381811,1
111354334,1
131391308,0
131390199,1
131403969,1
131388757,0
131399692,1
131403327,1
131398231,0
131388453,1
131393281,1
131386581,1
131393148,1
131380026,1
131382728,1
131388526,1
131381060,1
131394895,1
131380697,1
111345889,1
111354299,1
131389518,1
131384425,1
131391767,1
